SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
10,ABIES,fir spp.,Abies,spp.,NA,NA,2.05,4.1,1.81
11,ABAM,Pacific silver fir,Abies,amabilis,NA,NA,2.17,4.34,1.69
12,ABBA,balsam fir,Abies,balsamea,NA,NA,2.25,4.5,2.16
14,ABBR,Santa Lucia or bristlecone fir,Abies,bracteata,NA,NA,2.05,4.1,1.81
15,ABCO,white fir,Abies,concolor,NA,NA,2.32,4.64,1.97
16,ABFR,Fraser fir,Abies,fraseri,NA,NA,2.05,4.1,1.81
17,ABGR,grand fir,Abies,grandis,NA,NA,2.22,4.44,1.99
18,ABLAA,corkbark fir,Abies,lasiocarpa,arizonica,NA,2.05,4.1,1.81
19,ABLA,subalpine fir,Abies,lasiocarpa,NA,NA,1.41,2.82,1.48
20,ABMA,California red fir,Abies,magnifica,NA,NA,2.29,4.58,2.03
21,ABSH,Shasta red fir,Abies,shastensis,NA,NA,2.05,4.1,1.81
22,ABPR,noble fir,Abies,procera,NA,NA,1.53,3.06,1.34
40,CHAMA4,white-cedar spp.,Chamaecyparis,spp.,NA,NA,2.07,4.14,1.79
41,CHLA,Port-Orford-cedar,Chamaecyparis,lawsoniana,NA,NA,2.12,4.24,1.73
42,CHNO,Alaska yellow-cedar,Chamaecyparis,nootkatensis,NA,NA,2.32,4.64,1.76
43,CHTH2,Atlantic white-cedar,Chamaecyparis,thyoides,NA,NA,1.82,3.64,1.88
50,CUPRE,cypress,Cupressus,spp.,NA,NA,2.29,4.58,1.74
51,CUAR,Arizona cypress,Cupressus,arizonica,NA,NA,2.29,4.58,1.74
52,CUBA,Baker or Modoc cypress,Cupressus,bakeri,NA,NA,2.29,4.58,1.74
53,CUFO2,Tecate cypress,Cupressus,forbesii,NA,NA,2.29,4.58,1.74
54,CUMA2,Monterey cypress,Cupressus,macrocarpa,NA,NA,2.29,4.58,1.74
55,CUSA3,Sargent's cypress,Cupressus,sargentii,NA,NA,2.29,4.58,1.74
56,CUMA,MacNab's cypress,Cupressus,macnabiana,NA,NA,2.29,4.58,1.74
57,JUNIP,redcedar/juniper spp.,Juniperus,spp.,NA,NA,1.97,3.94,1.39
58,JUPI,Pinchot juniper,Juniperus,pinchotii,NA,NA,1.97,3.94,1.39
59,JUCO11,redberry juniper,Juniperus,coahuilensis,NA,NA,1.97,3.94,1.39
60,JUFL,Drooping juniper,Juniperus,flaccida,NA,NA,1.97,3.94,1.39
61,JUAS,Ashe juniper,Juniperus,ashei,NA,NA,1.97,3.94,1.39
62,JUCA7,California juniper,Juniperus,californica,NA,NA,1.97,3.94,1.39
63,JUDE2,alligator juniper,Juniperus,deppeana,NA,NA,2.06,4.12,1.36
64,JUOC,western juniper,Juniperus,occidentalis,NA,NA,1.97,3.94,1.39
65,JUOS,Utah juniper,Juniperus,osteosperma,NA,NA,2.95,5.9,1.37
66,JUSC2,Rocky Mountain juniper,Juniperus,scopulorum,NA,NA,1.97,3.94,1.39
67,JUVIS,southern redcedar,Juniperus,virginiana,silicicola,NA,1.89,3.78,1.43
68,JUVI,eastern redcedar,Juniperus,virginiana,NA,NA,1.9,3.8,1.37
69,JUMO,oneseed juniper,Juniperus,monosperma,NA,NA,1.97,3.94,1.39
70,LARIX,larch spp.,Larix,spp.,NA,NA,2.51,5.02,1.59
71,LALA,tamarack,Larix,laricina,NA,NA,2.5,5,1.57
72,LALY,subalpine larch,Larix,lyallii,NA,NA,2.51,5.02,1.59
73,LAOC,western larch,Larix,occidentalis,NA,NA,2.47,4.94,1.61
81,CADE27,incense-cedar,Calocedrus,decurrens,NA,NA,2.24,4.48,1.98
90,PICEA,spruce spp.,Picea,spp.,NA,NA,1.84,3.68,1.62
91,PIAB,Norway spruce,Picea,abies,NA,NA,1.84,3.68,1.62
92,PIBR,Brewer spruce,Picea,breweriana,NA,NA,1.84,3.68,1.62
93,PIEN,Engelmann spruce,Picea,engelmannii,NA,NA,1.94,3.88,1.88
94,PIGL,white spruce,Picea,glauca,NA,NA,1.81,3.62,1.55
95,PIMA,black spruce,Picea,mariana,NA,NA,1.84,3.68,1.53
96,PIPU,blue spruce,Picea,pungens,NA,NA,1.84,3.68,1.62
97,PIRU,red spruce,Picea,rubens,NA,NA,1.77,3.54,1.5
98,PISI,Sitka spruce,Picea,sitchensis,NA,NA,1.69,3.38,1.64
100,PINUS,pine spp.,Pinus,spp.,NA,NA,2.46,4.92,1.75
101,PIAL,whitebark pine,Pinus,albicaulis,NA,NA,2.46,4.92,1.75
102,PIAR,Rocky Mountain bristlecone pine,Pinus,aristata,NA,NA,2.46,4.92,1.75
103,PIAT,knobcone pine,Pinus,attenuata,NA,NA,2.47,4.94,2.02
104,PIBA,foxtail pine,Pinus,balfouriana,NA,NA,2.46,4.92,1.75
105,PIBA2,jack pine,Pinus,banksiana,NA,NA,2.55,5.1,1.99
106,PIED,common or two-needle pinyon,Pinus,edulis,NA,NA,2.1,4.2,1.31
107,PICL,sand pine,Pinus,clausa,NA,NA,2.08,4.16,1.4
108,PICO,lodgepole pine,Pinus,contorta,NA,NA,1.91,3.82,1.64
109,PICO3,Coulter pine,Pinus,coulteri,NA,NA,2.46,4.92,1.75
110,PIEC2,shortleaf pine,Pinus,echinata,NA,NA,2.68,5.36,1.75
111,PIEL,slash pine,Pinus,elliottii,NA,NA,3.12,6.24,1.74
112,PIEN2,Apache pine,Pinus,engelmannii,NA,NA,2.46,4.92,1.75
113,PIFL2,limber pine,Pinus,flexilis,NA,NA,2.18,4.36,1.82
114,PIST3,southwestern white pine,Pinus,strobiformis,NA,NA,2.46,4.92,1.75
115,PIGL2,spruce pine,Pinus,glabra,NA,NA,2.22,4.44,1.69
